,count,geo,region
0,1,"[u'30.227628', u'-81.385517']",Florida
1,65,"[u'42.929617', u'-75.856046']",New York
2,1,"[u'39.634819', u'-86.319268']",Indiana
3,1,"[u'42.930850', u'-87.981304']",Wisconsin
4,5,"[u'46.888974', u'-96.777044']",North Dakota
5,1,"[u'42.928411', u'-75.854984']",New York
6,1,"[u'43.094621', u'-88.087477']",Wisconsin
7,1,"[u'43.094652', u'-88.087220']",Wisconsin
8,5,"[u'47.045750', u'-122.818625']",Washington
9,1,"[u'42.969518', u'-88.266434']",Wisconsin
10,1,"[u'43.316029', u'-87.969932']",Wisconsin
11,1,"[u'43.064906', u'-88.180046']",Wisconsin
12,1,"[u'43.118590', u'-87.940342']",Wisconsin
13,1,"[u'42.258508', u'-83.690028']",Michigan
14,1,"[u'35.701289', u'-82.576589']",North Carolina
15,1,"[u'27.334717', u'-82.442607']",Florida
16,1,"[u'47.834419', u'-122.152776']",Washington
17,1,"[u'47.834188', u'-122.152776']",Washington
18,1,"[u'43.162493', u'-89.254099']",Wisconsin
19,1,"[u'38.697556', u'-76.856840']",Maryland
20,1,"[u'33.841236', u'-117.953789']",California
21,1,"[u'27.381370', u'-82.560653']",Florida
22,1,"[u'38.989078', u'-77.061168']",District of Columbia
23,1,"[u'33.270972', u'-111.872002']",Arizona
24,1,"[u'40.940165', u'-74.066991']",New Jersey
25,1,"[u'33.840630', u'-117.954196']",California
26,1,"[u'33.840666', u'-117.954325']",California
27,1,"[u'47.834217', u'-122.149901']",Washington
28,1,"[u'33.802747', u'-78.731809']",South Carolina
29,1,"[u'47.834131', u'-122.153248']",Washington
30,3,"[u'33.321751', u'-111.867717']",Arizona
31,2,"[u'41.698169', u'-88.081199']",Illinois
32,1,"[u'41.845684', u'-87.989330']",Illinois
33,11,"[u'29.550359', u'-98.593550']",Texas
34,1,"[u'29.877006', u'-95.497026']",Texas
35,1,"[u'35.324264', u'-80.945162']",North Carolina
36,1,"[u'35.320205', u'-80.946793']",North Carolina
37,1,"[u'42.928466', u'-75.855306']",New York
38,1,"[u'42.930756', u'-87.981218']",Wisconsin
39,1,"[u'29.705350', u'-82.342014']",Florida
40,1,"[u'44.420386', u'-88.099193']",Wisconsin
41,1,"[u'42.928364', u'-75.854641']",New York
42,1,"[u'42.297091', u'-83.488712']",Michigan
43,1,"[u'42.802450', u'-71.539235']",New Hampshire
44,1,"[u'39.077308', u'-86.761264']",Indiana
45,1,"[u'46.876992', u'-96.781454']",North Dakota
46,59,"[u'31.501917', u'-111.011901']",Arizona
47,57,"[u'31.499183', u'-111.014894']",Arizona
48,1,"[u'28.033927', u'-80.647700']",Florida
49,1,"[u'33.271221', u'-111.872021']",Arizona
50,1,"[u'33.271646', u'-111.872034']",Arizona
51,1,"[u'27.216500', u'-80.272877']",Florida
52,1,"[u'29.786550', u'-95.565787']",Texas
53,1,"[u'42.928387', u'-75.854845']",New York
54,1,"[u'33.842243', u'-117.955527']",California
55,1,"[u'41.905598', u'-88.361492']",Illinois
56,1,"[u'42.189119', u'-87.959503']",Illinois
57,1,"[u'42.232362', u'-83.722879']",Michigan
58,1,"[u'42.720060', u'-84.478120']",Michigan
59,2,"[u'33.835203', u'-118.203352']",California
60,1,"[u'39.692918', u'-75.652767']",Delaware
61,6,"[u'41.913761', u'-88.312843']",Illinois
62,7,"[u'41.138411', u'-74.365972']",New Jersey
63,1,"[u'27.771179', u'-82.639320']",Florida
64,1,"[u'27.983567', u'-82.384114']",Florida
65,1,"[u'29.864521', u'-81.294225']",Florida
66,1,"[u'28.308820', u'-80.613684']",Florida
67,1,"[u'42.232259', u'-83.721721']",Michigan
68,1,"[u'33.733904', u'-84.758834']",Georgia
69,1,"[u'28.233473', u'-80.757408']",Florida
70,1,"[u'42.231710', u'-83.721485']",Michigan
71,1,"[u'42.263431', u'-83.402624']",Michigan
72,1,"[u'43.060726', u'-87.875327']",Wisconsin
73,1,"[u'39.192644', u'-76.773184']",Maryland
74,1,"[u'42.795148', u'-85.601692']",Michigan
75,1,"[u'35.701568', u'-82.576653']",North Carolina
76,3,"[u'41.190161', u'-74.255788']",New York
77,1,"[u'27.736415', u'-82.708683']",Florida
78,1,"[u'40.815368', u'-77.889375']",Pennsylvania
79,1,"[u'27.258940', u'-82.481575']",Florida
80,1,"[u'27.546366', u'-82.569508']",Florida
81,1,"[u'42.231790', u'-83.720927']",Michigan
82,3,"[u'39.901839', u'-75.178252']",Pennsylvania
83,1,"[u'40.344241', u'-75.072618']",Pennsylvania
84,1,"[u'30.136034', u'-91.989512']",Louisiana
85,1,"[u'44.265117', u'-88.417625']",Wisconsin
86,1,"[u'28.342753', u'-81.420782']",Florida
87,1,"[u'36.052773', u'-94.138359']",Arkansas
88,1,"[u'47.755309', u'-122.256889']",Washington
89,1,"[u'40.815416', u'-77.888817']",Pennsylvania
90,1,"[u'39.789280', u'-85.955674']",Indiana
91,1,"[u'40.815433', u'-77.889246']",Pennsylvania
92,1,"[u'40.815238', u'-77.889032']",Pennsylvania
93,1,"[u'35.333894', u'-80.714675']",North Carolina
94,1,"[u'27.009661', u'-82.132372']",Florida
95,1,"[u'33.840746', u'-117.951461']",California
96,1,"[u'33.840233', u'-117.954089']",California
97,1,"[u'33.840723', u'-117.954186']",California
98,1,"[u'42.183385', u'-88.068294']",Illinois
99,1,"[u'30.454324', u'-97.764533']",Texas
100,1,"[u'28.621841', u'-81.250333']",Florida
101,1,"[u'28.036133', u'-82.760031']",Florida
